id,program,week_0,week_1,week_2,week_3,week_4
1,repetitions_increase,79,79,80,80,80
2,repetitions_increase,83,85,85,86,87
3,repetitions_increase,81,82,82,83,82
4,repetitions_increase,81,81,82,82,81
5,repetitions_increase,80,82,82,82,86
6,repetitions_increase,76,76,76,76,75
7,repetitions_increase,81,83,83,85,85
8,repetitions_increase,77,79,79,81,81
9,repetitions_increase,84,87,89,NA,86
10,repetitions_increase,74,78,78,79,78
11,repetitions_increase,76,77,77,77,76
12,repetitions_increase,84,86,85,86,86
13,repetitions_increase,79,79,80,80,82
14,repetitions_increase,78,77,NA,75,76
15,repetitions_increase,78,77,77,75,75
16,repetitions_increase,84,85,85,85,NA
17,weights_increase,84,84,83,83,84
18,weights_increase,74,75,78,75,76
19,weights_increase,83,82,81,NA,NA
20,weights_increase,86,87,87,87,86
21,weights_increase,82,84,85,84,86
22,weights_increase,79,79,79,80,80
23,weights_increase,79,79,81,81,NA
24,weights_increase,87,91,90,91,NA
25,weights_increase,81,81,82,82,83
26,weights_increase,82,NA,84,86,NA
27,weights_increase,79,80,81,81,NA
28,weights_increase,79,81,82,83,NA
29,weights_increase,83,84,84,84,83
30,weights_increase,81,82,84,83,85
31,weights_increase,78,79,79,78,79
32,weights_increase,83,82,84,84,84
33,weights_increase,80,79,81,NA,80
34,weights_increase,80,82,82,81,81
35,weights_increase,85,87,86,86,86
36,weights_increase,77,80,81,82,82
37,weights_increase,80,80,81,81,83
