Sourced Statement,Type of Source,Name of Source,Title of Source,Source Justification
"More than 930,000 travelers will funnel through SFO from Thursday through Tuesday, according to SFO spokesperson Doug Yakel.",Named Person,Doug Yakel,SFO spokesperson,SFO spokesperson Doug Yakel
That’s 8.7% more than last year’s Labor Day weekend.,Named Person,Doug Yakel,SFO spokesperson,SFO spokesperson Doug Yakel
"This year’s prediction is 97% of what the airport handled five years ago, Yakel said by email.",Named Person,Doug Yakel,SFO spokesperson,SFO spokesperson Doug Yakel
"To make it on time, holiday travelers should arrive at the airport two hours before domestic flights and three hours before international ones, Yakel said.",Named Person,Doug Yakel,SFO spokesperson,SFO spokesperson Doug Yakel
A United Airlines spokesperson said the three-hour warning was issued by mistake: somehow the company posted a years-old notice to the Chicago-bound boarding pass.,Named Organization,United Airlines,null,A United Airlines spokesperson
"The spokesperson shared a corrected advisory that suggested passengers “arrive early to avoid delays,” and to get a head start by checking bags from home and leaving luggage in the bag drop shortcut area at the airport.",Named Organization,United Airlines,null,A United Airlines spokesperson
"Yakel said SFO has not been advised of staffing woes for Thursday, which was expected to be the busiest day of travel at the airport.",Named Person,Doug Yakel,SFO spokesperson,SFO spokesperson Doug Yakel
"“I have TSA Pre, so that should make it a little easier,” said Bay Area resident Katelin Tharp, who on Thursday was booted from an overbooked flight to Boston, where she’s beginning her fifth year at Northeastern University.",Named Person,Katelin Tharp,null,"Bay Area resident Katelin Tharp, who on Thursday was booted from an overbooked flight to Boston, where she’s beginning her fifth year at Northeastern University"
"“So, I’ll be hanging out for a little bit.”",Named Person,Katelin Tharp,null,"Bay Area resident Katelin Tharp, who on Thursday was booted from an overbooked flight to Boston, where she’s beginning her fifth year at Northeastern University"
"“We’re sad since we just said goodbye to our one friend, and we don’t know if we’re ever going to see her again,” Ellie Mitchell, of the United Kingdom, told The Standard.",Named Person,Ellie Mitchell,null,"Ellie Mitchell, of the United Kingdom"
"Parking at airport garages will be in short supply this weekend, so travelers who want to leave cars at SFO should reserve spaces online as soon as possible, Yakel said.",Named Person,Doug Yakel,SFO spokesperson,SFO spokesperson Doug Yakel
"There are no major projects on the freeways near SFO, so with a bit of luck, drivers headed to the airport shouldn’t face major delays, Caltrans officials said.",Named Organization,Caltrans,null,Caltrans officials
